Time,GMSL (yearly)
1993.500,    -7.3
1994.500,    -6.0
1995.500,    -3.0
1996.500,     2.6
1997.500,     7.3
1998.500,    13.2
1999.500,    13.3
2000.500,    16.2
2001.500,    20.9
2002.500,    24.6
2003.500,    26.6
2004.500,    28.9
2005.500,    32.7
2006.500,    34.2
2007.500,    34.5
2008.500,    39.8
2009.500,    44.3
2010.500,    46.3
2011.500,    45.3
2012.500,    55.8
2013.500,    59.3
2014.500,    61.8
2015.500,    71.9
2016.500,    76.6
2017.500,    78.0
2018.500,    81.8
2019.500,    89.1
